
Filament No. Dendrite Branch Pts
 ==================== 
Filament No. Dendrite Branch Pts,Unit,Category,Birth [s],Death [s],ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
10.000000,,Filament, 0.000, 0.010, 100000013,100000013,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
1.000000,,Filament, 0.000, 0.010, 100000014,100000014,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
101.000000,,Filament, 0.000, 0.010, 100000015,100000015,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000016,100000016,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000017,100000017,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
4.000000,,Filament, 0.000, 0.010, 100000018,100000018,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
30.000000,,Filament, 0.000, 0.010, 100000019,100000019,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
40.000000,,Filament, 0.000, 0.010, 100000020,100000020,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
1.000000,,Filament, 0.000, 0.010, 100000021,100000021,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
10.000000,,Filament, 0.000, 0.010, 100000022,100000022,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
