
Filament No. Dendrite Branch Pts
 ==================== 
Filament No. Dendrite Branch Pts,Unit,Category,Birth [s],Death [s],ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
4.000000,,Filament, 0.000, 0.010, 100000000,100000000,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000001,100000001,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
134.000000,,Filament, 0.000, 0.010, 100000002,100000002,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000003,100000003,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000004,100000004,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
191.000000,,Filament, 0.000, 0.010, 100000005,100000005,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
4.000000,,Filament, 0.000, 0.010, 100000006,100000006,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
2.000000,,Filament, 0.000, 0.010, 100000007,100000007,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000008,100000008,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000009,100000009,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
19.000000,,Filament, 0.000, 0.010, 100000010,100000010,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
4.000000,,Filament, 0.000, 0.010, 100000011,100000011,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
1.000000,,Filament, 0.000, 0.010, 100000012,100000012,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000013,100000013,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000014,100000014,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
2.000000,,Filament, 0.000, 0.010, 100000015,100000015,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
141.000000,,Filament, 0.000, 0.010, 100000016,100000016,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
3.000000,,Filament, 0.000, 0.010, 100000017,100000017,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
3.000000,,Filament, 0.000, 0.010, 100000018,100000018,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
5.000000,,Filament, 0.000, 0.010, 100000019,100000019,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
0.000000,,Filament, 0.000, 0.010, 100000020,100000020,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
17.000000,,Filament, 0.000, 0.010, 100000021,100000021,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
12.000000,,Filament, 0.000, 0.010, 100000022,100000022,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-50.560],500001,2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 5\2020-05-03_16.55.08_F048_[ims2_2021-06-07T12-28-21.227].ims,
